,,,RA +RA -RA,CLR or OVC,Diverse,0 or 5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KJVW 270055Z AUTO 34004KT 10SM CLR 13/05 A3027 RMK AO2,47.45,-115.67,,CLR,0,5,0,KMLP,,29.958662,-6.1,10,-0.6,VFR,Idaho,,4,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,76
KJHN 270055Z AUTO 15014KT 10SM CLR 16/08 A3007 RMK AO2 T01620081,42.72,-114.45,,CLR,320,5,0,KJER,,29.929134,-1.7,10,15,VFR,Idaho,,5,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,1013
KJFX 270055Z AUTO 12/01 A3023 RMK AO2 PWINO,43.58,-116.52,,FEW,300,5,0,KMAN,3300,29.970472,6,9,12,VFR,Idaho,,5,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,METAR,148
KIKV 270055Z AUTO 19006KT 10SM SCT060 OVC070 11/03 A3027 RMK AO2,43.52,-112.07,,CLR,220,10,0,KIDA,,29.958662,-2.2,10,13.3,VFR,Idaho,,9,TRUE,TRUE,,,,,,,,,OVC,7000,,,,,,,,,,,,,,,,,METAR,275
KI75 270055Z AUTO 14005KT 7SM BKN060 OVC070 10/04 A3026 RMK AO2 T01000042,37.82,-88.55,,CLR,10,5,0,KHSB,,30.369095,-1.8,10,5.8,VFR,Illinois,,4,TRUE,TRUE,,,,,,,,,OVC,7000,,,,,,,,,,,,,,,,,METAR,339
KI67 270055Z AUTO 00000KT 10SM CLR 05/M06 A3037 RMK AO1,38.65,-88.97,,CLR,30,5,0,KSLO,,30.369095,-4.6,10,8,VFR,Illinois,,3,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,178
KHZE 270055Z AUTO 19009KT 10SM BKN008 04/04 A2989 RMK AO2 TSNO,39.83,-88.85,,CLR,40,5,0,KDEC,,30.380905,-3.3,10,2.8,VFR,Illinois,,4,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,METAR,553
KHPT 270055Z AUTO 16006KT 10SM OVC055 08/M01 A3023 RMK AO2,41.53,-87.53,,CLR,50,5,0,KIGQ,,30.410433,-9.1,10,2.5,VFR,Illinois,,3,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,358
KHOB 270055Z AUTO 13013KT 10SM CLR 20/09 A3017 RMK AO2,39.02,-87.65,,CLR,60,5,0,KRSV,,30.380905,-4.3,10,5.4,VFR,Illinois,,3,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,1115
KHNR 270055Z AUTO 16009KT 10SM CLR 11/06 A3018 RMK AO2,40.03,-88.27,,CLR,70,5,0,KCMI,,30.369095,-8.3,10,5,VFR,Illinois,,4,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,375
KHEG 270055Z AUTO 03015KT 10SM BKN019 BKN025 OVC100 17/14 A3007 RMK AO2,38.57,-90.15,,CLR,100,5,0,KCPS,,30.351377,-2.2,10,7.8,VFR,Illinois,,5,TRUE,TRUE,,,,,,,,,BKN,2500,OVC,10000,,,,,,,,,,,,,,,METAR,27
KGWR 270055Z AUTO 10005KT 3SM BR 01/01 A3000 RMK A01,42.42,-87.87,,CLR,140,5,0,KUGN,,30.380905,-10,10,1.1,VFR,Illinois,,4,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,386
KGNT 270055Z AUTO 16004KT 10SM BKN120 18/M07 A3014 RMK AO2 T01811071,39.95,-91.2,,CLR,150,5,0,KUIN,,30.339567,-2.8,10,7.8,VFR,Illinois,,4,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,1987
KGCD 270055Z AUTO 20004KT 10SM SCT120 12/M05 A2993 RMK AO2 T01181053,40.67,-89.68,,CLR,170,5,0,KPIA,,30.369095,-9.4,10,7.2,VFR,Illinois,,3,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,1127
KFXY 270055Z AUTO 16007KT 10SM SCT035 OVC055 08/03 A3021 RMK AO2,42.25,-89.58,,CLR,170,5,0,KFEP,,30.369095,-4.7,10,1.4,VFR,Illinois,,4,TRUE,TRUE,,,,,,,,,OVC,5500,,,,,,,,,,,,,,,,,METAR,375
KFSW 270055Z AUTO 00000KT 10SM CLR 08/M06 A3035 RMK AO2,38.77,-87.6,,CLR,350,5,0,KLWV,,30.369095,-3.3,10,6.7,VFR,Illinois,,4,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,221
KFRH 270055Z AUTO 05005KT 10SM CLR 05/M11 A3035 RMK AO1,41.78,-87.75,,FEW,110,5,0,KMDW,2000,30.389763,-13.3,10,3.9,VFR,Illinois,,6,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,241
KFMM 270055Z AUTO 14007KT 10SM 17/M03 A3000 RMK AO2 T01661030,42.2,-89.1,,FEW,160,5,0,KRFD,25000,30.380905,-8.9,10,5.6,VFR,Illinois,,4,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,1393
KFMH 270055Z AUTO 02005KT 10SM CLR M01/M09 A3030 RMK AO2 FZRANO,41.63,-85.08,,CLR,0,0,0,KANQ,,30.369095,-6,10,3,VFR,Indiana,,0,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,METAR,40
KFIN 270055Z AUTO 06006KT 10SM BKN060 OVC085 18/14 A3003 RMK AO2 T01780141,41.7,-86.82,,CLR,0,0,0,KMGC,,30.410433,-10,10,1,VFR,Indiana,,0,TRUE,TRUE,,,,,,,,,OVC,8500,,,,,,,,,,,,,,,,,METAR,10
KFFL 270055Z AUTO 13006KT 10SM CLR 05/M09 A3031 RMK AO2 PWINO,38.75,-85.47,,CLR,0,0,0,KIMS,,30.369095,-4,10,5,VFR,Indiana,,0,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,METAR,244
KEZS 270055Z AUTO 15003KT 10SM CLR 04/M11 A3029 RMK AO2 T00431111,40.72,-86.77,,CLR,0,0,0,KMCX,,30.369095,-11.3,10,4.2,VFR,Indiana,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,248
KEVU 270055Z AUTO 15009KT 10SM CLR 12/M02 A3022 RMK AO2,40.45,-84.98,,CLR,0,0,0,KPLD,,30.380905,-6,10,4,VFR,Indiana,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,349
KEFT 270055Z AUTO 10SM CLR 05/M09 A3033 RMK AO2 T00481095,41.47,-85.25,,CLR,0,0,0,KC62,,30.369095,-13.9,10,2.8,VFR,Indiana,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,331
KEDC 270055Z AUTO 00000KT 10SM CLR 19/09 A3025 RMK AO2,40.12,-85.62,,CLR,0,0,0,KAID,,30.380905,-5.7,10,4.4,VFR,Indiana,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,189
KDYB 270055Z AUTO 02007KT 10SM OVC042 12/06 A3020 RMK AO1,39.63,-86.82,,CLR,0,0,0,KGPC,,30.360237,-6,10,4,VFR,Indiana,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,18
KW96 270055Z AUTO 06003KT 10SM CLR 05/M08 A3033 RMK AO1 T00531085,39.45,-87.3,,CLR,20,5,0,KHUF,,30.369095,-3.9,10,3.3,VFR,Indiana,,3,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,37
KW75 270055Z AUTO 02008KT 10SM CLR 06/M06 A3033 RMK AO1 T00551056,39.75,-84.85,,CLR,20,5,0,KRID,,30.369095,-5,10,2,VFR,Indiana,,4,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,9
KW31 270055Z AUTO 00000KT 10SM CLR 06/M11 A3029 RMK AO1 T00591111,39.15,-86.62,,CLR,40,5,0,KBMG,,30.360237,-5,10,5.6,VFR,Indiana,,4,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,162
KVWU 270055Z AUTO 17006KT 10SM BKN023 OVC031 04/M02 A3006 RMK AO2,39.83,-86.3,,CLR,50,5,0,KEYE,,30.360237,-8.3,10,6.1,VFR,Indiana,,3,TRUE,TRUE,,,,,,,,,OVC,3100,,,,,,,,,,,,,,,,,METAR,360
KVLL 270055Z AUTO 17004KT 10SM CLR 03/M09 A3042 RMK AO2 T00331087,38.5,-86.63,,CLR,50,5,0,KFRH,,30.351377,-11,10,5,VFR,Indiana,,5,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,222
KULS 270055Z AUTO 16013KT 10SM CLR 16/09 A3008 RMK AO2 PWINO,39.58,-85.8,,CLR,50,5,0,KGEZ,,30.360237,-4.4,10,3.9,VFR,Indiana,,6,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,METAR,936
KUGN 270055Z 14004KT 10SM CLR 01/M10 A3038 RMK AO2 SLP301 LAST T00111100,39.98,-86.92,,CLR,70,5,0,KCFJ,,30.369095,-7.6,10,3.1,VFR,Indiana,,3,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,222
KSLO 270055Z AUTO 03003KT 10SM CLR 08/M05 A3037 RMK AO2 T00801046,39.85,-85.9,,CLR,80,5,0,KMQJ,,30.369095,-1,10,2,VFR,Indiana,,5,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,175
KSLH 270055Z AUTO 00000KT 10SM CLR M02/M08 A3033 RMK AO2 T10201083,40.23,-85.4,,CLR,90,5,0,KMIE,,30.369095,-6.7,10,3.9,VFR,Indiana,,3,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,195
KSEZ 270055Z AUTO 20007KT 10SM CLR 20/M02 A3005 RMK AO2,40.42,-86.93,,CLR,100,5,0,KLAF,,30.369095,-11.1,10,5,VFR,Indiana,,5,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,1473
KSCK 270055Z 09004KT 10SM CLR 20/12 A2993 RMK AO2 SLP133 T02000117,40.27,-86.57,,CLR,110,5,0,KFKR,,30.389763,-6,10,3.5,VFR,Indiana,,4,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,10
KSCD 270055Z AUTO 00000KT 10SM BKN065 BKN090 OVC120 10/07 A3018 RMK AO2 T01000066,38.05,-87.52,,CLR,330,5,0,KEVV,,30.360237,-3.9,10,6.7,VFR,Indiana,,4,TRUE,TRUE,,,,,,,,,BKN,9000,OVC,12000,,,,,,,,,,,,,,,METAR,173
KRZT 270055Z AUTO 00000KT 10SM CLR 01/M02 A3036 RMK AO2,41.7,-86.32,,CLR,360,5,0,KSBN,,30.398623,-9.4,10,1.7,VFR,Indiana,,4,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,221
KRSV 270055Z AUTO 06003KT 10SM CLR 05/M04 A3038 RMK AO2 T00541043,39.72,-86.3,,FEW,70,5,0,KIND,25000,30.360237,-7.8,10,5.6,VFR,Indiana,,5,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,141
KDLH 270055Z 20007KT 10SM OVC048 06/M04 A3015 RMK AO2 SLP230 T00561039,40.98,-85.18,,FEW,100,5,0,KFWA,25000,30.380905,-5,10,2.8,VFR,Indiana,,5,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,435
KFRR 270055Z AUTO 00000KT 10SM CLR 04/M09 A3033 RMK AO1,40.47,-91.42,,CLR,0,0,0,KEOK,,30.339567,-7,10,8,VFR,Iowa,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,216
KHCR 270055Z AUTO 19004KT 10SM CLR 14/M06 A2998 RMK AO2,41.7,-94.92,,CLR,0,0,0,KADU,,30.209646,5,10,9,VFR,Iowa,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,1706
KHCO 270055Z AUTO 17016KT 10SM OVC010 01/00 A2998 RMK AO2,40.67,-91.32,,CLR,0,0,0,KFSW,,30.351377,-6,10,8,VFR,Iowa,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,250
KGPI 270055Z 17008KT 10SM BKN080 07/00 A2995 RMK AO2 SLP160 T00720000,40.77,-91.13,,CLR,0,0,0,KBRL,,30.339567,-6.1,10,6.7,VFR,Iowa,,0,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,908
KGLW 270055Z AUTO 02003KT 10SM CLR 07/M08 A3031 RMK AO2 T00701076,41.05,-93.68,,BKN,140,5,0,KI75,6000,30.259842,4.2,7,10,VFR,Iowa,,5,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,218
KGAO 270055Z AUTO 36007KT 10SM CLR 17/08 A3018 RMK AO2 T01670080,41.98,-93.62,,BKN,160,5,0,KAMW,5000,30.239174,3.3,10,10,VFR,Iowa,,7,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,1
KFWZ 270055Z AUTO 25023G31KT 10SM CLR 05/M10 A2994 RMK AO2,41.03,-91.97,,CLR,130,5,0,KFFL,,30.31004,-9,10,5,VFR,Iowa,,6,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,2588
KHFJ 270055Z AUTO 07003KT 10SM CLR 13/03 A3030 RMK AO2,41.27,-91.67,,CLR,140,5,0,KAWG,,30.33071,-10,10,6,VFR,Iowa,,6,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,401
KHMP 270055Z AUTO 00000KT 10SM SCT047 OVC090 13/12 A3015 RMK AO2 T01260115,41.02,-94.37,,CLR,140,5,0,KCSQ,,30.230314,5,10,8,VFR,Iowa,,7,TRUE,TRUE,,,,,,,,,OVC,9000,,,,,,,,,,,,,,,,,METAR,269
KHON 270055Z AUTO 15012G21KT 10SM CLR 11/06 A2997 RMK AO2 SLP157 T01110061,41.37,-91.15,,CLR,150,5,0,KMUT,,30.351377,-11,10,8,VFR,Iowa,,5,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,390
K18A 270055Z AUTO 09004KT 10SM OVC050 13/07 A3019 RMK AO2 T01280065,40.95,-91.52,,CLR,150,5,0,KMPZ,,30.339567,-6,10,7,VFR,Iowa,,5,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,271
K0V4 270055Z AUTO 06003KT 10SM CLR 06/M07 A3029 RMK AO1 T00561072,40.72,-95.02,,CLR,160,5,0,KICL,,30.230314,5,10,12,VFR,Iowa,,7,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,182
K0F2 270055Z AUTO 11003KT 10SM CLR 17/06 A3025 RMK AO2 T01660063,43.27,-91.72,,CLR,160,5,0,KDEH,,30.259842,-3,10,5,VFR,Iowa,,7,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,336
KFKR 270055Z AUTO 11004KT 10SM CLR 04/M06 A3039 RMK AO2 T00351060 TSNO,41.38,-95.03,,CLR,160,5,0,KAIO,,30.188976,6,10,11,VFR,Iowa,,7,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,METAR,262
KFEP 270055Z AUTO 17004KT 10SM CLR 01/M05 A3037 RMK AO2 T00141047,41.02,-93.37,,FEW,170,5,0,KCNC,4400,30.268702,3,10,8,VFR,Iowa,,6,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,262
KF46 270055Z AUTO 00000KT 10SM CLR 17/08 A3028 RMK AO2 T01670082,41.28,-93.12,,OVC,160,5,0,KOXV,7000,30.268702,0,10,10,VFR,Iowa,,5,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,176
KERY 270055Z AUTO 18007KT 10SM CLR M01/M07 A3031 RMK AO2 T10071069,42.58,-93.23,,OVC,160,5,0,KHPT,5500,30.230314,-1,10,8,VFR,Iowa,,6,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,265
KEDN 270055Z AUTO 34008KT 300V360 10SM OVC037 13/08 A3013 RMK AO2 T01310079,41.4,-92.95,,SCT,140,5,0,KPEA,7000,30.28937,-0.3,10,8.7,VFR,Iowa,,5,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,110
KEDJ 270055Z AUTO 05007KT 10SM CLR 01/M09 A3038 RMK AO1,40.63,-93.9,,SCT,150,5,0,KLWD,7500,30.259842,2.2,10,10.6,VFR,Iowa,,5,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,342
KECU 270055Z AUTO 15010KT 10SM CLR 21/10 A3026 RMK AO2,43.23,-93.62,,SCT,160,5,0,KFXY,3500,30.209646,3,10,8,VFR,Iowa,,7,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,725
KEAT 270055Z AUTO 00000KT 10SM CLR 13/M04 A2997 RMK AO2 SLP151 T01331044,41.68,-93.57,,SCT,190,5,0,KIKV,6000,30.268702,3,10,11,VFR,Iowa,,6,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,377
KDZB 270055Z AUTO 11003KT 10SM CLR 21/07 A3024 RMK AO2 T02100068,41.67,-93.02,,BKN,140,10,0,KTNU,6500,30.268702,0,10,7,VFR,Iowa,,9,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,334
KDXX 270055Z AUTO 14008KT 7SM CLR 06/05 A3007 RMK AO2,41.83,-94.17,,BKN,150,10,0,KPRO,5000,30.230314,5.7,10,9.1,VFR,Iowa,,8,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,330
KDTL 270055Z AUTO 16009KT 10SM OVC013 03/01 A3007 RMK AO2,42.12,-92.92,,BKN,150,10,0,KMIW,4600,30.259842,0,10,8.9,VFR,Iowa,,9,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,426
KDNN 270055Z AUTO 35003KT 10SM CLR 10/05 A3020 RMK AO2,42.03,-93.83,,BKN,160,10,0,KBNW,5000,30.221457,6,10,8,VFR,Iowa,,8,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,216
PAUT 270055Z AUTO 16020G23KT 10SM BKN021 OVC029 05/01 A3019 RMK AO2 T00540010,41.53,-93.67,,BKN,180,10,0,KDSM,6000,30.259842,2.2,10,10.6,VFR,Iowa,,8,TRUE,TRUE,,,,,,,,,OVC,2900,,,,,,,,,,,,,,,,,METAR,25
KRSN 270055Z AUTO 00000KT 10SM CLR 15/03 A3032 RMK AO2 T01520029,41.72,-92.73,,CLR,140,10,0,KGGI,,30.28937,-1.6,10,7,VFR,Iowa,,8,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,95
KRQB 270055Z AUTO 00000KT 10SM CLR 03/M11 A3036 RMK AO2 T00331114,40.75,-95.42,,CLR,140,10,0,KSDA,,30.188976,6,10,12,VFR,Iowa,,9,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,302
KRNO 270055Z 28019G25KT 10SM FEW045 BKN060 BKN170 12/00 A2993 RMK AO2 SLP110 CLDS TPG MTNS SW THRU NW T01170000,42.03,-94.77,,CLR,150,10,0,KCIN,,30.188976,6,10,8,VFR,Iowa,,8,,TRUE,,,,,,,,,BKN,6000,BKN,17000,,,,,,,,,,,,,,,METAR,1342
KRGA 270055Z AUTO 00000KT 10SM CLR 06/M07 A3031 RMK AO2,41.02,-95.27,,CLR,150,10,0,KRDK,,30.200787,6,10,12,VFR,Iowa,,8,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,305
KPWC 270055Z AUTO 15004KT 10SM OVC028 03/M02 A3014 RMK AO2,42.67,-91.97,,CLR,150,10,0,KOLZ,,30.28937,-2,10,4,VFR,Iowa,,8,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,395
KPUJ 270055Z AUTO 36008KT 10SM BKN039 OVC048 12/05 A3016 RMK AO2,42.77,-96.2,,CLR,150,10,0,KLRJ,,30.109253,7,10,10,VFR,Iowa,,8,TRUE,TRUE,,,,,,,,,OVC,4800,,,,,,,,,,,,,,,,,METAR,393
KPTB 270055Z AUTO 00000KT 10SM CLR 02/M06 A3032 RMK AO2 T00211059,41.23,-92.5,,CLR,150,10,0,KOOA,,30.301182,-2,10,5.6,VFR,Iowa,,9,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,59
KPMH 270055Z AUTO 34004KT 10SM CLR 06/M08 A3035 RMK AO2 T00561076,43.22,-95.82,,CLR,150,10,0,KSHL,,30.109253,9,10,9,VFR,Iowa,,11,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,202
KPIM 270055Z AUTO 35003KT 10SM OVC031 13/10 A3013 RMK AO2 T01290099 PWINO,42.45,-91.95,,CLR,160,10,0,KIIB,,30.28937,-3.1,10,3.5,VFR,Iowa,,8,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,METAR,275
KPHP 270055Z AUTO 09005KT 10SM CLR 13/04 A2984 RMK AO2 SLP110 T01330039,42.55,-92.4,,CLR,160,10,0,KALO,,30.268702,-2.8,10,7.8,VFR,Iowa,,8,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,672
KPEZ 270055Z AUTO 09004KT 10SM CLR 22/09 A3020 RMK AO2 T02190087,42.4,-90.7,,CLR,160,10,0,KDBQ,,30.318897,-6.1,10,2.2,VFR,Iowa,,8,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,132
KOWX 270055Z AUTO 10005KT 10SM CLR M01/M07 A3042 RMK AO1,41.97,-95.37,,CLR,160,10,0,KDNS,,30.171259,6,10,11,VFR,Iowa,,9,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,233
KOWP 270055Z AUTO 15003KT 10SM CLR 17/04 A3028 RMK AO2 T01680043 PWINO,41.58,-95.33,,CLR,160,10,0,KHNR,,30.180119,6,10,11,VFR,Iowa,,9,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,METAR,272
KOVL 270055Z AUTO 15008KT 10SM OVC033 07/05 A3013 RMK AO2,43.17,-95.22,,CLR,160,10,0,KSPW,,30.15059,5,10,8.9,VFR,Iowa,,10,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,328
KONA 270055Z AUTO 15004KT 10SM CLR 06/M02 A3027 RMK AO2,42.6,-95.22,,CLR,160,10,0,KSLB,,30.129921,7,10,8,VFR,Iowa,,11,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,200
KMRT 270055Z AUTO 03007KT 10SM CLR 02/M08 A3037 RMK AO2 T00221078,41.27,-95.77,,CLR,160,10,0,KCBF,,30.159449,7,10,12,VFR,Iowa,,12,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,312
KMNE 270055Z AUTO 00000KT 10SM CLR 16/06 A3029 RMK AO2 T01630055,43.07,-92.62,,FEW,160,10,0,KCCY,4600,30.259842,-1,10,6,VFR,Iowa,,8,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,85
KMLJ 270055Z AUTO 08006KT 10SM OVC120 15/08 A3014 RMK AO2,42.75,-93.77,,FEW,170,10,0,KCAV,4600,30.221457,5,10,9,VFR,Iowa,,9,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,117
KMKN 270055Z AUTO 11005KT 10SM CLR 18/08 A3024 RMK AO2 T01820082,43.15,-93.33,,FEW,170,10,0,KMCW,3500,30.230314,3.9,10,7.8,VFR,Iowa,,9,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,423
KMKG 270055Z 00000KT 10SM BKN200 01/M09 A3040 RMK AO2 SLP301 T00061094,42.47,-93.27,,OVC,140,10,0,KIFA,6000,30.239174,3.3,10,9.1,VFR,Iowa,,8,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,191
KMJQ 270055Z AUTO 16008KT 10SM SCT031 07/05 A3016 RMK AO2,43.07,-94.27,,SCT,160,10,0,KAXA,3500,30.180119,7,10,9,VFR,Iowa,,11,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,441
KMFV 270055Z AUTO 06005KT 10SM CLR 04/M02 A3033 RMK AO2 T00361016,38.33,-96.2,HZ,OVC,150,5,0,KEMP,4600,30.230314,5,6,13.3,VFR,Kansas,,7,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,15
KLNC 270055Z AUTO 09004KT 10SM CLR 15/08 A3027 RMK AO2 T01460080,38.82,-94.88,,CLR,130,5,0,KIXD,,30.259842,4.4,10,13.3,VFR,Kansas,,6,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,153
KHVE 270055Z AUTO 36003KT 10SM CLR 16/00 A3001 RMK AO2,37.45,-94.73,,CLR,140,5,0,KPTS,,30.280512,4.7,10,13.5,VFR,Kansas,,3,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,1350
KHSP 270055Z AUTO 10004KT 10SM CLR 03/M06 A3023 RMK AO2 T00261064,37.17,-97.03,,CLR,160,5,0,KWLD,,30.250984,5,10,13.3,VFR,Kansas,,5,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,1156
KHSB 270055Z AUTO 01004KT 10SM CLR 06/M02 A3037 RMK AO2 T00581018,38.93,-95.65,,CLR,160,5,0,KFOE,,30.221457,4.4,10,12.2,VFR,Kansas,,7,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,121
KHQG 270055Z AUTO 17011KT 10SM CLR 16/09 A3011 RMK AO2 T01600088,37.75,-97.22,,CLR,170,5,0,KAAO,,30.221457,5.6,10,13.3,VFR,Kansas,,7,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,956
KHQG 270055Z AUTO 17011KT 10SM CLR 16/09 A3011 RMK AO2 T01600088,37.77,-97.12,,CLR,190,5,0,K1K1,,30.230314,5.4,10,14.5,VFR,Kansas,,7,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,956
K1K1 270055Z AUTO 19007KT 10SM CLR 15/05 A3023 RMK AO2 T01450054,37.65,-97.43,,FEW,190,5,0,KICT,15000,30.221457,5.6,10,13.3,VFR,Kansas,,7,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,416
K1A9 270055Z AUTO 00000KT 10SM BKN050 10/07 A3017 RMK AO2 T01040071,39.37,-99.83,,CLR,170,10,0,KHLC,,30.100393,7.8,10,16.1,VFR,Kansas,,8,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,69
KCCA 270055Z AUTO 00000KT 10SM CLR 11/06 A3030 RMK AO2,37.17,-101.37,,CLR,170,10,0,KHQG,,30.109253,8.8,10,16,VFR,Kansas,,11,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,157
